"Month","Master Index","Record Type","Master (Parent) CSJ","Individual Project CSJ","Has Multi-CSJs?","Sub-CSJ Count","Let Date","County","Highway","District","Project Type","Estimate ($)"
"2026-09",,"Sub-CSJ Project","0028-05-057","0243-04-062","Sub-CSJ of 0028-05-057","Sub-CSJ #25",,"Liberty",,,,".00"
"2026-09",,"Sub-CSJ Project","0028-05-057","0703-03-030","Sub-CSJ of 0028-05-057","Sub-CSJ #26",,"Liberty",,,,".00"
"2026-09",,"Sub-CSJ Project","0028-05-057","0703-01-068","Sub-CSJ of 0028-05-057","Sub-CSJ #27",,"Liberty",,,,".00"
"2026-09","92","Master Contract","6506-39-001","6506-39-001","No (Single CSJ)","1",,"Culberson",,,,"59670"
"2026-09","93","Master Contract","6504-84-001","6504-84-001","No (Single CSJ)","1",,"Tom Green",,,,"537511.22"
"2026-09","94","Master Contract","6504-81-001","6504-81-001","No (Single CSJ)","1",,"El Paso",,,,"1625640"
"2026-09","95","Master Contract","6505-17-001","6505-17-001","No (Single CSJ)","1",,"Travis",,,,"1541660.5"
"2026-09","96","Master Contract","6503-17-001","6503-17-001","No (Single CSJ)","1",,"Kaufman",,,,"462962.5"
"2026-09","97","Master Contract","6502-42-001","6502-42-001","No (Single CSJ)","1",,"Kaufman",,,,"266150"
"2026-09","98","Master Contract","0275-03-072","0275-03-072","No (Single CSJ)","1",,"Carson",,,,"10704179.35"
"2026-09","99","Master Contract","6502-15-001","6502-15-001","No (Single CSJ)","1",,"Denton",,,,"52000"
"2026-09","100","Master Contract","0181-01-071","0181-01-071","No (Single CSJ)","1",,"Taylor",,,,"307957.6"
"2026-09","101","Master Contract","6509-07-001","6509-07-001","No (Single CSJ)","1",,"Grayson",,,,"542915.5"
"2026-09","102","Master Contract","6508-03-001","6508-03-001","No (Single CSJ)","1",,"Panola",,,,"651828.02"
"2026-09","103","Master Contract","0110-06-151","0110-06-151","Yes (2 Sub-CSJs)","2",,"Harris",,,,"1284248.1"
"2026-09",,"Sub-CSJ Project","0110-06-151","0110-07-022","Sub-CSJ of 0110-06-151","Sub-CSJ #2",,"Harris",,,,".00"
"2026-09","104","Master Contract","6501-05-001","6501-05-001","No (Single CSJ)","1",,"Tom Green",,,,"1329347"
"2026-09","105","Master Contract","0068-05-039","0068-05-039","No (Single CSJ)","1",,"Dawson",,,,"4420417.03"
"2026-09","106","Master Contract","0902-39-050","0902-39-050","No (Single CSJ)","1",,"Palo Pinto",,,,"515079.4"
"2026-09","107","Master Contract","0903-28-073","0903-28-073","Yes (4 Sub-CSJs)","4",,"Montague",,,,"3059363.99"
"2026-09",,"Sub-CSJ Project","0903-28-073","0903-28-076","Sub-CSJ of 0903-28-073","Sub-CSJ #2",,"Montague",,,,".00"
"2026-09",,"Sub-CSJ Project","0903-28-073","0903-28-075","Sub-CSJ of 0903-28-073","Sub-CSJ #3",,"Montague",,,,".00"
"2026-09",,"Sub-CSJ Project","0903-28-073","0903-28-074","Sub-CSJ of 0903-28-073","Sub-CSJ #4",,"Montague",,,,".00"
"2026-09","108","Master Contract","6507-75-001","6507-75-001","No (Single CSJ)","1",,"Pecos",,,,"30000"
"2026-09","109","Master Contract","6501-34-001","6501-34-001","No (Single CSJ)","1",,"Ellis",,,,"474779"
"2026-09","110","Master Contract","0865-01-118","0865-01-118","Yes (2 Sub-CSJs)","2",,"Hidalgo",,,,"631956.66"
"2026-09",,"Sub-CSJ Project","0865-01-118","1228-03-060","Sub-CSJ of 0865-01-118","Sub-CSJ #2",,"Hidalgo",,,,".00"
"2026-09","111","Master Contract","0573-02-008","0573-02-008","No (Single CSJ)","1",,"Caldwell",,,,"5431676.47"
"2026-09","112","Master Contract","6484-49-001","6484-49-001","No (Single CSJ)","1",,"Travis",,,,"778586.96"
